studentID,moduleId,solvingState
1356,37,2
1356,37,1
1356,37,2
1356,37,1
1623,37,2
1623,37,2
1623,37,2
1623,37,1
1623,37,2
1623,37,1
1623,37,2
1623,37,1
1623,47,1
1623,47,1
1623,47,1
1623,47,1
1623,47,1
1623,47,1
1522,37,2
1522,37,1
1522,37,1
1522,37,2
1522,37,1
1522,37,2
1522,37,2
1522,37,1
1522,47,1
1522,47,1
1522,47,1
1522,47,1
1522,47,1
1522,47,1
1611,37,1
1611,37,1
1611,37,2
1611,37,1
1611,37,1
1611,37,2
1611,37,2
1611,37,1
1611,47,1
1611,47,1
1611,47,1
1611,47,1
1611,47,1
1611,47,1
1631,37,1
1631,37,1
1631,37,1
1631,37,1
1631,37,1
1631,37,1
1631,37,1
1631,37,1
1631,47,1
1631,47,1
1631,47,1
1631,47,1
1631,47,1
1631,47,1
1617,37,1
1617,37,2
1617,37,1
1617,37,1
1617,37,1
1617,37,1
1617,37,1
1617,37,1
1617,47,1
1617,47,1
1617,47,1
1617,47,1
1617,47,1
1617,47,1
1554,37,2
1554,37,1
1554,37,2
1554,37,1
1554,37,1
1554,37,1
1554,37,1
1554,37,2
1554,47,1
1554,47,2
1554,47,1
1554,47,1
1554,47,2
1554,47,1
1615,37,2
1615,37,1
1615,37,2
1615,37,1
1615,37,1
1615,37,1
1615,37,1
1615,37,1
1615,47,1
1615,47,1
1615,47,1
1615,47,1
1615,47,1
1615,47,1
1621,37,1
1621,37,1
1621,37,2
1621,37,2
1621,37,1
1621,37,1
1621,37,2
1621,37,1
1621,47,2
1621,47,1
1621,47,1
1621,47,1
1621,47,1
1621,47,1
1616,37,2
1616,37,1
1616,37,1
1616,37,2
1616,37,1
1616,37,1
1616,37,1
1616,37,1
1616,47,1
1616,47,1
1616,47,1
1616,47,1
1616,47,1
1616,47,2
1593,37,1
1593,37,2
1593,37,1
1593,37,2
1593,37,1
1593,37,2
1593,37,1
1593,37,2
1593,47,1
1593,47,1
1593,47,1
1593,47,1
1593,47,1
1593,47,1
1546,37,1
1546,37,2
1546,37,2
1546,37,2
1546,37,2
1546,37,2
1546,37,2
1546,37,1
1546,47,1
1546,47,1
1546,47,1
1546,47,1
1546,47,1
1629,37,1
1629,37,1
1629,37,1
1629,37,2
1629,37,2
1629,37,2
1629,37,2
1629,37,1
1629,47,2
1629,47,1
1629,47,2
1629,47,2
1629,47,2
1629,47,2
1628,37,1
1628,37,1
1628,37,1
1628,37,2
1628,37,1
1628,37,1
1628,37,1
1628,37,2
1628,47,2
1628,47,2
1628,47,2
1628,47,2
1628,47,2
1628,47,1
1619,37,1
1619,37,2
1619,37,1
1619,37,1
1619,37,1
1619,37,1
1619,37,1
1619,37,2
1619,47,1
1619,47,1
1619,47,1
1619,47,1
1619,47,1
1619,47,2
1626,37,2
1626,37,2
1626,37,1
1626,37,2
1626,37,2
1626,37,1
1626,37,2
1626,37,1
1626,47,1
1626,47,1
1626,47,1
1626,47,1
1626,47,1
1626,47,1
1618,37,2
1618,37,2
1618,37,1
1618,37,1
1618,37,1
1618,37,2
1618,37,1
1618,37,1
1618,47,1
1618,47,2
1618,47,1
1618,47,1
1618,47,1
1618,47,1
1592,37,1
1592,37,1
1592,37,2
1592,37,1
1592,37,1
1592,37,1
1592,37,1
1592,37,1
1592,47,1
1592,47,1
1592,47,2
1592,47,1
1592,47,2
1592,47,1
1612,37,1
1612,37,1
1612,37,1
1612,37,1
1612,37,2
1612,37,1
1612,37,1
1612,37,1
1612,47,2
1612,47,1
1612,47,2
1612,47,1
1612,47,1
1612,47,2
1632,37,2
1632,37,2
1632,37,1
1632,37,2
1632,37,2
1632,37,1
1632,37,2
1632,37,1
1632,47,1
1632,47,1
1632,47,1
1632,47,1
1632,47,1
1632,47,1
1614,37,1
1614,37,2
1614,37,1
1614,37,1
1614,37,2
1614,37,1
1614,37,2
1614,37,2
1614,47,1
1614,47,1
1614,47,1
1614,47,1
1614,47,1
1614,47,1
1624,37,1
1624,37,1
1624,37,1
1624,37,2
1624,37,1
1624,37,1
1624,37,2
1624,37,2
1624,47,1
1624,47,1
1624,47,1
1624,47,1
1624,47,1
1624,47,2
1613,37,2
1613,37,1
1613,37,2
1613,37,2
1613,37,1
1613,37,1
1613,37,2
1613,37,1
1613,47,1
1613,47,2
1613,47,2
1613,47,1
1613,47,2
1613,47,2
1625,37,1
1625,37,2
1625,37,2
1625,37,1
1625,37,1
1625,37,2
1625,37,1
1625,37,1
1625,47,2
1625,47,1
1625,47,1
1625,47,1
1625,47,2
1625,47,1
1622,37,1
1622,37,1
1622,37,1
1622,37,1
1622,37,1
1622,37,2
1622,37,1
1622,37,2
1622,47,1
1622,47,1
1622,47,2
1622,47,2
1622,47,1
1622,47,2
1356,5,1
1356,6,1
1620,37,1
1620,37,1
1620,37,1
1620,37,1
1620,37,1
1620,37,1
1620,37,1
1620,37,1
1620,47,1
1620,47,2
1620,47,2
1620,47,1
1620,47,1
1620,47,2
1627,37,2
1627,37,2
1627,37,1
1627,37,2
1627,37,1
1627,37,1
1627,37,1
1627,37,1
1627,47,1
1627,47,1
1627,47,1
1627,47,2
1627,47,1
1627,47,1
1624,5,1
1624,87,1
1624,5,1
1624,6,1
1624,6,1
1624,8,1
1624,8,2
1624,8,2
1624,8,2
1624,7,1
1624,87,1
1624,7,1
1624,7,1
1624,25,1
1624,25,1
1624,25,1
1624,25,1
1624,25,1
1624,87,1
1624,89,2
1624,89,2
1624,89,2
1624,87,1
1620,5,1
1620,87,2
1620,5,1
1620,6,1
1620,6,2
1620,8,2
1620,8,2
1620,8,1
1620,8,1
1620,7,1
1620,87,2
1620,7,2
1620,7,1
1620,25,1
1620,25,2
1620,25,2
1620,25,2
1620,25,1
1620,87,2
1620,89,2
1620,89,1
1620,89,1
1620,87,1
1621,5,1
1621,87,1
1621,6,1
1621,6,1
1621,7,1
1621,87,1
1621,7,1
1621,7,1
1621,25,1
1621,25,2
1621,25,1
1621,25,1
1621,25,1
1621,87,1
1621,89,1
1621,87,1
1625,5,1
1625,87,1
1625,5,1
1625,6,1
1625,6,1
1625,8,2
1625,8,2
1625,8,2
1625,8,2
1625,7,1
1625,87,1
1625,7,1
1625,7,1
1625,25,1
1625,25,1
1625,25,2
1625,25,1
1625,25,1
1625,87,1
1625,87,1
1614,5,1
1614,87,1
1614,5,2
1614,6,1
1614,6,1
1614,8,1
1614,8,1
1614,8,1
1614,8,1
1614,7,1
1614,87,1
1614,7,1
1614,7,1
1614,25,1
1614,25,1
1614,25,1
1614,25,2
1614,25,1
1614,87,1
1614,89,1
1614,89,2
1614,89,2
1614,87,1
1631,5,1
1631,87,1
1631,5,1
1631,6,1
1631,6,1
1631,8,2
1631,8,1
1631,8,1
1631,8,1
1631,7,1
1631,87,1
1631,7,1
1631,7,1
1631,25,1
1631,25,1
1631,25,1
1631,25,1
1631,25,1
1631,87,1
1631,89,2
1631,89,1
1631,89,1
1631,87,1
1629,5,1
1629,87,1
1629,5,1
1629,6,1
1629,6,1
1629,8,2
1629,8,2
1629,8,1
1629,8,2
1629,7,2
1629,87,2
1629,7,1
1629,7,1
1629,25,2
1629,25,1
1629,25,1
1629,25,2
1629,25,1
1629,87,2
1629,89,2
1629,89,2
1629,89,2
1629,87,2
1612,5,2
1612,87,2
1612,5,1
1612,6,1
1612,6,1
1612,8,1
1612,8,1
1612,8,1
1612,8,2
1612,7,1
1612,87,2
1612,7,2
1612,7,1
1612,25,1
1612,25,2
1612,25,1
1612,25,2
1612,25,2
1612,87,1
1612,89,2
1612,89,2
1612,87,2
1615,5,1
1615,87,1
1615,5,1
1615,6,1
1615,6,1
1615,8,1
1615,8,1
1615,8,1
1615,8,1
1615,7,1
1615,87,1
1615,7,1
1615,7,1
1615,25,1
1615,25,1
1615,25,1
1615,25,1
1615,25,1
1615,87,1
1615,89,1
1615,89,2
1615,89,1
1615,87,1
1554,5,1
1554,87,1
1554,5,1
1554,6,1
1554,6,2
1554,8,2
1554,8,1
1554,8,2
1554,8,1
1554,7,1
1554,87,1
1554,7,1
1554,7,2
1554,25,2
1554,25,1
1554,25,2
1554,25,2
1554,25,2
1554,87,1
1554,89,2
1554,89,2
1554,89,2
1554,87,2
1593,5,1
1593,87,1
1593,5,1
1593,6,1
1593,6,1
1593,8,1
1593,8,1
1593,8,1
1593,8,1
1593,7,1
1593,87,2
1593,7,1
1593,7,1
1593,25,1
1593,25,1
1593,25,1
1593,25,2
1593,25,2
1593,87,1
1593,89,2
1593,89,1
1593,89,1
1593,87,1
1546,5,2
1546,87,2
1546,5,1
1546,6,1
1546,6,1
1546,8,1
1546,8,1
1546,8,1
1546,8,1
1546,7,1
1546,87,1
1546,7,1
1546,7,1
1546,25,1
1546,25,1
1546,87,1
1546,87,2
1617,5,1
1617,87,2
1617,5,2
1617,6,1
1617,6,1
1617,8,1
1617,8,2
1617,8,1
1617,8,1
1617,7,1
1617,87,1
1617,7,1
1617,7,1
1617,25,1
1617,25,1
1617,25,2
1617,25,2
1617,25,2
1617,87,1
1617,89,2
1617,89,1
1627,5,1
1627,87,1
1627,5,1
1627,6,1
1627,6,1
1627,8,1
1627,8,1
1627,8,1
1627,8,1
1627,7,2
1627,87,2
1627,7,1
1627,7,1
1627,25,1
1627,25,2
1627,25,1
1627,25,2
1627,25,1
1627,87,2
1627,89,2
1627,89,2
1627,89,2
1627,87,2
1628,5,1
1628,87,1
1628,5,2
1628,6,1
1628,6,1
1628,8,1
1628,8,1
1628,8,2
1628,8,2
1628,7,2
1628,87,1
1628,7,1
1628,7,1
1628,25,1
1628,25,1
1628,25,1
1628,25,2
1628,25,1
1628,87,1
1628,89,2
1628,89,1
1628,89,2
1628,87,1
1619,5,1
1619,87,1
1619,5,2
1619,6,1
1619,6,1
1619,8,2
1619,8,1
1619,8,2
1619,8,1
1619,7,2
1619,87,1
1619,7,1
1619,7,2
1619,25,1
1619,25,1
1619,25,1
1619,25,1
1619,25,1
1619,87,1
1619,89,2
1619,89,2
1619,89,2
1619,87,1
1626,5,1
1626,87,2
1626,5,1
1626,6,1
1626,6,1
1626,8,1
1626,8,1
1626,8,1
1626,8,1
1626,7,1
1626,7,2
1626,7,1
1626,25,2
1626,25,1
1626,25,1
1626,25,2
1626,89,2
1626,89,1
1626,89,2
1626,87,1
1611,5,1
1611,87,1
1611,5,1
1611,6,1
1611,6,1
1611,8,2
1611,8,1
1611,7,1
1611,87,1
1611,7,1
1611,7,1
1611,25,2
1611,25,1
1611,25,2
1611,25,2
1611,25,2
1611,87,1
1611,89,2
1611,89,1
1611,89,1
1611,87,1
1522,5,1
1522,87,1
1522,5,1
1522,6,1
1522,6,1
1522,8,1
1522,8,2
1522,8,2
1522,8,1
1522,7,2
1522,87,2
1522,7,2
1522,7,1
1522,25,1
1522,25,2
1522,25,1
1522,25,1
1522,25,1
1522,87,1
1522,89,2
1522,89,2
1522,89,2
1522,87,1
1592,5,1
1592,87,2
1592,5,1
1592,6,1
1592,6,1
1592,8,2
1592,8,1
1592,7,2
1592,87,1
1622,5,1
1622,87,1
1622,5,1
1622,6,1
1622,6,1
1622,8,1
1622,8,1
1622,8,1
1622,8,1
1622,7,2
1622,87,1
1622,7,2
1622,7,1
1622,25,1
1622,25,1
1622,25,2
1622,25,1
1622,25,1
1622,87,1
1622,89,2
1622,89,2
1622,89,2
1622,87,1
1633,5,2
1633,5,2
1633,6,1
1633,6,1
1618,5,1
1618,87,1
1618,5,1
1618,6,1
1618,6,1
1618,8,2
1618,8,2
1618,8,2
1618,8,1
1618,7,1
1618,87,1
1618,7,1
1618,7,1
1618,25,1
1618,25,1
1618,25,2
1618,25,1
1618,25,2
1618,87,1
1618,89,1
1618,89,1
1618,89,1
1618,87,1
1623,5,1
1623,87,1
1623,5,1
1623,6,1
1623,6,1
1623,7,2
1623,87,1
1623,7,1
1623,25,1
1623,25,1
1623,25,2
1623,25,2
1623,25,2
1623,87,1
1623,89,1
1623,89,1
1623,89,1
1623,87,1
1356,9,1
1616,5,1
1616,87,1
1616,5,1
1616,6,1
1616,6,1
1616,8,1
1616,8,1
1616,8,2
1616,8,1
1616,7,2
1616,87,1
1616,7,1
1616,7,1
1616,25,1
1616,25,1
1616,25,1
1616,25,1
1616,87,1
1616,89,2
1616,87,1
1629,86,1
1629,86,2
1629,85,1
1629,85,1
1629,72,1
1629,72,2
